iter	Passed	Remaining
947	25733	1411
948	25758	1384
949	25788	1357
950	25814	1330
951	25831	1302
952	25856	1275
953	25882	1247
954	25903	1220
955	25928	1193
956	25954	1166
957	25973	1138
958	26000	1111
959	26021	1084
960	26045	1056
961	26069	1029
962	26092	1002
963	26115	975
964	26136	947
965	26159	920
966	26182	893
967	26207	866
968	26227	839
969	26250	811
970	26273	784
971	26310	757
972	26335	730
973	26365	703
974	26384	676
975	26413	649
976	26456	622
977	26482	595
978	26511	568
979	26536	541
980	26565	514
981	26588	487
982	26609	460
983	26629	432
984	26669	406
985	26699	379
986	26736	352
987	26765	325
988	26785	297
989	26800	270
990	26818	243
991	26839	2169992	26862	1899993	26879	1629994	26894	1359995	26910	1089996	26926	819997	26938	539998	26953	269999	26968	0
7300	0
